graph_name,varying_params,yamada,yamada_sigma
periodic_theta,"(1,)",0,0
periodic_theta,"(2,)",Y**3 + 2*Y**2 + 5*Y + 5 + 5/Y + 2/Y**2 + Y**(-3),sigma**3 - sigma**2 + sigma
periodic_theta,"(3,)",Y**5 + Y**4 + 7*Y**3 + 5*Y**2 + 15*Y + 8 + 15/Y + 5/Y**2 + 7/Y**3 + Y**(-4) + Y**(-5),sigma**5 - 4*sigma**4 + 8*sigma**3 - 9*sigma**2 + 4*sigma
periodic_theta,"(4,)",Y**7 + 2*Y**6 + 13*Y**5 + 18*Y**4 + 60*Y**3 + 64*Y**2 + 125*Y + 97 + 125/Y + 64/Y**2 + 60/Y**3 + 18/Y**4 + 13/Y**5 + 2/Y**6 + Y**(-7),sigma**7 - 5*sigma**6 + 15*sigma**5 - 29*sigma**4 + 40*sigma**3 - 32*sigma**2 + 11*sigma
periodic_theta,"(5,)",Y**9 + 3*Y**8 + 18*Y**7 + 36*Y**6 + 118*Y**5 + 167*Y**4 + 371*Y**3 + 396*Y**2 + 638*Y + 524 + 638/Y + 396/Y**2 + 371/Y**3 + 167/Y**4 + 118/Y**5 + 36/Y**6 + 18/Y**7 + 3/Y**8 + Y**(-9),sigma**9 - 6*sigma**8 + 21*sigma**7 - 51*sigma**6 + 94*sigma**5 - 135*sigma**4 + 140*sigma**3 - 90*sigma**2 + 26*sigma
periodic_theta,"(6,)",Y**11 + 4*Y**10 + 24*Y**9 + 64*Y**8 + 214*Y**7 + 416*Y**6 + 982*Y**5 + 1462*Y**4 + 2607*Y**3 + 3052*Y**2 + 4208*Y + 3893 + 4208/Y + 3052/Y**2 + 2607/Y**3 + 1462/Y**4 + 982/Y**5 + 416/Y**6 + 214/Y**7 + 64/Y**8 + 24/Y**9 + 4/Y**10 + Y**(-11),sigma**11 - 7*sigma**10 + 28*sigma**9 - 78*sigma**8 + 168*sigma**7 - 292*sigma**6 + 421*sigma**5 - 487*sigma**4 + 417*sigma**3 - 227*sigma**2 + 57*sigma
periodic_theta,"(7,)",Y**13 + 5*Y**12 + 31*Y**11 + 101*Y**10 + 355*Y**9 + 848*Y**8 + 2126*Y**7 + 3922*Y**6 + 7591*Y**5 + 11143*Y**4 + 17226*Y**3 + 20506*Y**2 + 25735*Y + 25066 + 25735/Y + 20506/Y**2 + 17226/Y**3 + 11143/Y**4 + 7591/Y**5 + 3922/Y**6 + 2126/Y**7 + 848/Y**8 + 355/Y**9 + 101/Y**10 + 31/Y**11 + 5/Y**12 + Y**(-13),sigma**13 - 8*sigma**12 + 36*sigma**11 - 113*sigma**10 + 274*sigma**9 - 540*sigma**8 + 895*sigma**7 - 1274*sigma**6 + 1547*sigma**5 - 1533*sigma**4 + 1134*sigma**3 - 539*sigma**2 + 120*sigma
periodic_theta,"(8,)",Y**15 + 6*Y**14 + 39*Y**13 + 148*Y**12 + 555*Y**11 + 1542*Y**10 + 4173*Y**9 + 9050*Y**8 + 19156*Y**7 + 33544*Y**6 + 57672*Y**5 + 83172*Y**4 + 118312*Y**3 + 142120*Y**2 + 168729*Y + 169685 + 168729/Y + 142120/Y**2 + 118312/Y**3 + 83172/Y**4 + 57672/Y**5 + 33544/Y**6 + 19156/Y**7 + 9050/Y**8 + 4173/Y**9 + 1542/Y**10 + 555/Y**11 + 148/Y**12 + 39/Y**13 + 6/Y**14 + Y**(-15),sigma**15 - 9*sigma**14 + 45*sigma**13 - 157*sigma**12 + 423*sigma**11 - 927*sigma**10 + 1711*sigma**9 - 2725*sigma**8 + 3816*sigma**7 - 4720*sigma**6 + 5056*sigma**5 - 4440*sigma**4 + 2914*sigma**3 - 1234*sigma**2 + 247*sigma
periodic_theta,"(9,)",Y**17 + 7*Y**16 + 48*Y**15 + 206*Y**14 + 827*Y**13 + 2586*Y**12 + 7567*Y**11 + 18550*Y**10 + 42820*Y**9 + 85487*Y**8 + 161819*Y**7 + 268944*Y**6 + 426418*Y**5 + 598048*Y**4 + 803766*Y**3 + 959204*Y**2 + 1099746*Y + 1121552 + 1099746/Y + 959204/Y**2 + 803766/Y**3 + 598048/Y**4 + 426418/Y**5 + 268944/Y**6 + 161819/Y**7 + 85487/Y**8 + 42820/Y**9 + 18550/Y**10 + 7567/Y**11 + 2586/Y**12 + 827/Y**13 + 206/Y**14 + 48/Y**15 + 7/Y**16 + Y**(-17),sigma**17 - 10*sigma**16 + 55*sigma**15 - 211*sigma**14 + 625*sigma**13 - 1507*sigma**12 + 3061*sigma**11 - 5365*sigma**10 + 8270*sigma**9 - 11391*sigma**8 + 14154*sigma**7 - 15786*sigma**6 + 15324*sigma**5 - 12174*sigma**4 + 7212*sigma**3 - 2760*sigma**2 + 502*sigma
periodic_theta,"(10,)",Y**19 + 8*Y**18 + 58*Y**17 + 276*Y**16 + 1185*Y**15 + 4086*Y**14 + 12888*Y**13 + 34908*Y**12 + 87486*Y**11 + 194112*Y**10 + 401979*Y**9 + 748702*Y**8 + 1310212*Y**7 + 2079774*Y**6 + 3117335*Y**5 + 4257764*Y**4 + 5509917*Y**3 + 6513082*Y**2 + 7308365*Y + 7498825 + 7308365/Y + 6513082/Y**2 + 5509917/Y**3 + 4257764/Y**4 + 3117335/Y**5 + 2079774/Y**6 + 1310212/Y**7 + 748702/Y**8 + 401979/Y**9 + 194112/Y**10 + 87486/Y**11 + 34908/Y**12 + 12888/Y**13 + 4086/Y**14 + 1185/Y**15 + 276/Y**16 + 58/Y**17 + 8/Y**18 + Y**(-19),sigma**19 - 11*sigma**18 + 66*sigma**17 - 276*sigma**16 + 891*sigma**15 - 2343*sigma**14 + 5193*sigma**13 - 9933*sigma**12 + 16698*sigma**11 - 25046*sigma**10 + 33979*sigma**9 - 42149*sigma**8 + 47954*sigma**7 - 49334*sigma**6 + 44120*sigma**5 - 32132*sigma**4 + 17387*sigma**3 - 6077*sigma**2 + 1013*sigma
sierpinski,"(2, 1)",0,0
sierpinski,"(3, 1)",Y + 1 + 1/Y,sigma
sierpinski,"(4, 1)",Y**3 + 2*Y + 2/Y + Y**(-3),sigma**3 - 3*sigma**2 + 2*sigma
sierpinski,"(2, 2)",0,0
sierpinski,"(5, 1)",-Y**6 - 2*Y**5 - 11*Y**4 - 15*Y**3 - 40*Y**2 - 40*Y - 61 - 40/Y - 40/Y**2 - 15/Y**3 - 11/Y**4 - 2/Y**5 - 1/Y**6,-sigma**6 + 4*sigma**5 - 10*sigma**4 + 15*sigma**3 - 15*sigma**2 + 6*sigma
sierpinski,"(6, 1)",-Y**10 - 5*Y**9 - 25*Y**8 - 70*Y**7 - 194*Y**6 - 370*Y**5 - 719*Y**4 - 1015*Y**3 - 1495*Y**2 - 1640*Y - 1892 - 1640/Y - 1495/Y**2 - 1015/Y**3 - 719/Y**4 - 370/Y**5 - 194/Y**6 - 70/Y**7 - 25/Y**8 - 5/Y**9 - 1/Y**10,-sigma**10 + 5*sigma**9 - 15*sigma**8 + 35*sigma**7 - 64*sigma**6 + 96*sigma**5 - 120*sigma**4 + 120*sigma**3 - 80*sigma**2 + 24*sigma
sierpinski,"(3, 2)",-Y**4 - Y**3 - 4*Y**2 - 3*Y - 6 - 3/Y - 4/Y**2 - 1/Y**3 - 1/Y**4,-sigma**4 + 3*sigma**3 - 3*sigma**2 + sigma
sierpinski,"(2, 3)",0,0
