sample_id,source,source_format,pdb_id,chain_ids,allowed_crosslink_types,metadata_json
1AOC_A,1AOC,pdb,1AOC,A,disulfide,"{""cohort_stratum"":""framework_stress_case"",""selection_reason"":""reference disulfide example""}"
3ULK_A,3ULK,pdb,3ULK,A,metal_coordination,"{""cohort_stratum"":""framework_stress_case"",""selection_reason"":""metal-coordination example""}"
5OSQ_A,5OSQ,pdb,5OSQ,A,disulfide|metal_coordination,"{""cohort_stratum"":""framework_stress_case"",""selection_reason"":""mixed-crosslink example""}"
3NIR_A,3NIR,pdb,3NIR,A,disulfide,"{""cohort_stratum"":""high_resolution_disulfide_snapshot"",""selection_rank"":1}"
1EJG_A,1EJG,pdb,1EJG,A,disulfide,"{""cohort_stratum"":""high_resolution_disulfide_snapshot"",""selection_rank"":2}"
3X2M_A,3X2M,pdb,3X2M,A,disulfide,"{""cohort_stratum"":""high_resolution_disulfide_snapshot"",""selection_rank"":3}"
2VB1_A,2VB1,pdb,2VB1,A,disulfide,"{""cohort_stratum"":""high_resolution_disulfide_snapshot"",""selection_rank"":4}"
6E6O_A,6E6O,pdb,6E6O,A,disulfide,"{""cohort_stratum"":""high_resolution_disulfide_snapshot"",""selection_rank"":5}"
4ZM7_A,4ZM7,pdb,4ZM7,A,disulfide,"{""cohort_stratum"":""high_resolution_disulfide_snapshot"",""selection_rank"":6}"
8C5N_A,8C5N,pdb,8C5N,A,disulfide,"{""cohort_stratum"":""high_resolution_disulfide_snapshot"",""selection_rank"":7}"
2H5C_A,2H5C,pdb,2H5C,A,disulfide,"{""cohort_stratum"":""high_resolution_disulfide_snapshot"",""selection_rank"":8}"
1CBN_A,1CBN,pdb,1CBN,A,disulfide,"{""cohort_stratum"":""high_resolution_disulfide_snapshot"",""selection_rank"":9}"
1SSX_A,1SSX,pdb,1SSX,A,disulfide,"{""cohort_stratum"":""high_resolution_disulfide_snapshot"",""selection_rank"":10}"
3X2L_A,3X2L,pdb,3X2L,A,disulfide,"{""cohort_stratum"":""high_resolution_disulfide_snapshot"",""selection_rank"":11}"
1P9G_A,1P9G,pdb,1P9G,A,disulfide,"{""cohort_stratum"":""high_resolution_disulfide_snapshot"",""selection_rank"":12}"
1MC2_A,1MC2,pdb,1MC2,A,disulfide,"{""cohort_stratum"":""high_resolution_disulfide_snapshot"",""selection_rank"":13}"
1X8P_A,1X8P,pdb,1X8P,A,disulfide,"{""cohort_stratum"":""high_resolution_disulfide_snapshot"",""selection_rank"":14}"
1X8Q_A,1X8Q,pdb,1X8Q,A,disulfide,"{""cohort_stratum"":""high_resolution_disulfide_snapshot"",""selection_rank"":15}"
2FMA_A,2FMA,pdb,2FMA,A,disulfide,"{""cohort_stratum"":""high_resolution_disulfide_snapshot"",""selection_rank"":16}"
3QPA_A,3QPA,pdb,3QPA,A,disulfide,"{""cohort_stratum"":""high_resolution_disulfide_snapshot"",""selection_rank"":17}"
