sample_id,source,source_format,pdb_id,chain_ids,allowed_crosslink_types,metadata_json
4UYR_A,4UYR,pdb,4UYR,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":4,""polymer_entity_id"":""4UYR_1"",""pre_repulsor_crossing_count"":34}"
2XJP_A,2XJP,pdb,2XJP,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":8,""polymer_entity_id"":""2XJP_1"",""pre_repulsor_crossing_count"":74}"
1EB6_A,1EB6,pdb,1EB6,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":17,""polymer_entity_id"":""1EB6_1"",""pre_repulsor_crossing_count"":53}"
2X46_A,2X46,pdb,2X46,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":22,""polymer_entity_id"":""2X46_1"",""pre_repulsor_crossing_count"":51}"
1XQO_A,1XQO,pdb,1XQO,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":34,""polymer_entity_id"":""1XQO_1"",""pre_repulsor_crossing_count"":53}"
1SFS_A,1SFS,pdb,1SFS,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":42,""polymer_entity_id"":""1SFS_1"",""pre_repulsor_crossing_count"":63}"
3LQB_A,3LQB,pdb,3LQB,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":47,""polymer_entity_id"":""3LQB_1"",""pre_repulsor_crossing_count"":43}"
8B2E_A,8B2E,pdb,8B2E,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":50,""polymer_entity_id"":""8B2E_1"",""pre_repulsor_crossing_count"":27}"
9T47_A,9T47,pdb,9T47,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":51,""polymer_entity_id"":""9T47_1"",""pre_repulsor_crossing_count"":41}"
1JM1_A,1JM1,pdb,1JM1,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":53,""polymer_entity_id"":""1JM1_1"",""pre_repulsor_crossing_count"":58}"
1D2U_A,1D2U,pdb,1D2U,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":60,""polymer_entity_id"":""1D2U_1"",""pre_repulsor_crossing_count"":45}"
2ZK9_X,2ZK9,pdb,2ZK9,X,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":62,""polymer_entity_id"":""2ZK9_1"",""pre_repulsor_crossing_count"":27}"
3R72_A,3R72,pdb,3R72,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":63,""polymer_entity_id"":""3R72_1"",""pre_repulsor_crossing_count"":25}"
5DIC_A,5DIC,pdb,5DIC,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":70,""polymer_entity_id"":""5DIC_1"",""pre_repulsor_crossing_count"":26}"
7TVC_A,7TVC,pdb,7TVC,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":75,""polymer_entity_id"":""7TVC_1"",""pre_repulsor_crossing_count"":36}"
7UI2_A,7UI2,pdb,7UI2,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":76,""polymer_entity_id"":""7UI2_1"",""pre_repulsor_crossing_count"":33}"
1ARB_A,1ARB,pdb,1ARB,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":78,""polymer_entity_id"":""1ARB_1"",""pre_repulsor_crossing_count"":59}"
4NYQ_A,4NYQ,pdb,4NYQ,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":89,""polymer_entity_id"":""4NYQ_1"",""pre_repulsor_crossing_count"":37}"
3EDG_A,3EDG,pdb,3EDG,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":107,""polymer_entity_id"":""3EDG_1"",""pre_repulsor_crossing_count"":38}"
3WP4_A,3WP4,pdb,3WP4,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":108,""polymer_entity_id"":""3WP4_1"",""pre_repulsor_crossing_count"":31}"
4Z39_A,4Z39,pdb,4Z39,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":125,""polymer_entity_id"":""4Z39_1"",""pre_repulsor_crossing_count"":29}"
6ZZB_A,6ZZB,pdb,6ZZB,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":134,""polymer_entity_id"":""6ZZB_1"",""pre_repulsor_crossing_count"":46}"
7VQG_A,7VQG,pdb,7VQG,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":147,""polymer_entity_id"":""7VQG_1"",""pre_repulsor_crossing_count"":30}"
5H9K_A,5H9K,pdb,5H9K,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":152,""polymer_entity_id"":""5H9K_1"",""pre_repulsor_crossing_count"":45}"
6WES_A,6WES,pdb,6WES,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":155,""polymer_entity_id"":""6WES_1"",""pre_repulsor_crossing_count"":31}"
6TA9_A,6TA9,pdb,6TA9,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":157,""polymer_entity_id"":""6TA9_1"",""pre_repulsor_crossing_count"":32}"
7NTL_A,7NTL,pdb,7NTL,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":162,""polymer_entity_id"":""7NTL_1"",""pre_repulsor_crossing_count"":26}"
7ECQ_A,7ECQ,pdb,7ECQ,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":163,""polymer_entity_id"":""7ECQ_1"",""pre_repulsor_crossing_count"":52}"
3M3G_A,3M3G,pdb,3M3G,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":165,""polymer_entity_id"":""3M3G_1"",""pre_repulsor_crossing_count"":28}"
7WZ5_A,7WZ5,pdb,7WZ5,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":167,""polymer_entity_id"":""7WZ5_1"",""pre_repulsor_crossing_count"":62}"
1YPQ_A,1YPQ,pdb,1YPQ,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":173,""polymer_entity_id"":""1YPQ_1"",""pre_repulsor_crossing_count"":27}"
6RW7_A,6RW7,pdb,6RW7,A,disulfide,"{""analysis_role"":""repulsor_complexity_recovery"",""selection_rank"":185,""polymer_entity_id"":""6RW7_1"",""pre_repulsor_crossing_count"":36}"
